City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bredasdorp,-34.5322,20.0403,57.83,94,100,9.24,ZA,2022-06-21 17:07:57
68,Chokurdakh,70.6333,147.9167,43.81,42,6,5.75,RU,2022-06-21 17:07:58
69,Sitka,57.0531,-135.33,51.69,76,100,5.75,US,2022-06-21 17:07:58
70,Chuy,-33.6971,-53.4616,55.62,80,97,5.5,UY,2022-06-21 17:07:59
71,Ilulissat,69.2167,-51.1,35.62,93,75,10.36,GL,2022-06-21 17:07:59
72,Dunedin,-45.8742,170.5036,41.81,82,0,3.69,NZ,2022-06-21 17:07:59
73,Airai,-8.9266,125.4092,57.02,91,83,4.36,TL,2022-06-21 17:08:00
74,Mafinga,-7.25,35.0667,69.26,32,1,3.85,TZ,2022-06-21 17:08:00
75,Cuamba,-14.8031,36.5372,64.56,63,21,7.96,MZ,2022-06-21 17:08:00
76,Mahanoro,-19.9,48.8,68.99,74,73,5.88,MG,2022-06-21 17:08:01
77,Grand Gaube,-20.0064,57.6608,70.2,67,0,3.0,MU,2022-06-21 17:08:01
78,Saint-Philippe,-21.3585,55.7679,65.79,75,69,10.36,RE,2022-06-21 17:08:01
79,Lasa,46.6166,10.7002,68.68,81,100,0.89,IT,2022-06-21 17:08:01
80,Hirara,24.8,125.2833,82.83,85,98,13.06,JP,2022-06-21 17:08:02
81,Hamilton,39.1834,-84.5333,90.95,48,0,9.22,US,2022-06-21 17:08:02
82,Sao Joao Da Barra,-21.6403,-41.0511,80.69,72,8,11.72,BR,2022-06-21 17:04:26
83,Mitsamiouli,-11.3847,43.2844,77.27,72,72,11.14,KM,2022-06-21 17:08:03
84,Linxia,35.6003,103.2064,62.91,79,100,4.09,CN,2022-06-21 17:08:03
85,Caucaia,-3.7361,-38.6531,87.31,64,40,18.41,BR,2022-06-21 17:08:03
86,Sarangani,5.4033,125.4636,83.16,69,100,5.88,PH,2022-06-21 17:08:04
87,Hilo,19.7297,-155.09,77.61,76,0,5.75,US,2022-06-21 17:08:04
88,Canutama,-6.5339,-64.3831,92.75,42,100,2.17,BR,2022-06-21 17:08:04
89,Apricena,41.7839,15.4437,88.36,36,0,1.72,IT,2022-06-21 17:08:05
90,Saint-Joseph,-21.3667,55.6167,64.78,74,51,8.25,RE,2022-06-21 17:08:05
91,Nikolskoye,59.7035,30.7861,62.49,57,11,5.46,RU,2022-06-21 17:08:05
92,Port Hedland,-20.3167,118.5667,62.65,55,0,8.05,AU,2022-06-21 17:08:06
93,Mount Gambier,-37.8333,140.7667,49.06,96,46,4.9,AU,2022-06-21 17:06:29
94,Vysokogornyy,50.1167,139.15,51.85,93,100,4.03,RU,2022-06-21 17:09:06
95,Oistins,13.0667,-59.5333,86.09,74,75,16.11,BB,2022-06-21 17:09:07
96,Barrow,71.2906,-156.7887,48.22,87,100,12.66,US,2022-06-21 17:09:07
97,Victoria,22.2855,114.1577,85.32,82,100,8.99,HK,2022-06-21 17:09:07
98,Khasan,42.4308,130.6434,60.06,99,100,4.43,RU,2022-06-21 17:09:08
99,Icatu,-2.7758,-44.0658,90.03,62,93,6.98,BR,2022-06-21 17:09:08
100,La Palma,33.8464,-118.0467,89.74,65,20,6.91,US,2022-06-21 17:09:08
101,Carnarvon,-24.8667,113.6333,69.87,52,0,6.46,AU,2022-06-21 17:09:09
102,Santa Maria,-29.6842,-53.8069,62.46,98,100,4.72,BR,2022-06-21 17:05:25
103,Marsh Harbour,26.5412,-77.0636,79.45,71,100,16.42,BS,2022-06-21 17:06:58
104,Paris,48.8534,2.3488,81.25,57,40,9.22,FR,2022-06-21 17:05:01
105,Margate,51.3813,1.3862,68.11,71,100,3.0,GB,2022-06-21 17:09:09
106,Samarai,-10.6167,150.6667,79.83,80,100,10.16,PG,2022-06-21 17:09:10
107,Ahipara,-35.1667,173.1667,48.51,83,94,7.43,NZ,2022-06-21 17:09:10
108,Torbay,47.6666,-52.7314,66.97,93,75,3.44,CA,2022-06-21 17:09:10
109,Poum,-20.2333,164.0167,71.38,69,89,15.08,NC,2022-06-21 17:09:11
110,Dikson,73.5069,80.5464,32.99,95,100,15.82,RU,2022-06-21 17:09:11
111,Luderitz,-26.6481,15.1594,56.46,65,61,11.05,NA,2022-06-21 17:09:11
112,Thompson,55.7435,-97.8558,66.04,32,80,12.88,CA,2022-06-21 17:06:33
113,Tasiilaq,65.6145,-37.6368,39.36,92,43,13.76,GL,2022-06-21 17:09:12
114,Uruacu,-14.5247,-49.1408,89.89,21,12,7.4,BR,2022-06-21 17:09:12
115,Geraldton,-28.7667,114.6,55.81,94,0,8.05,AU,2022-06-21 17:09:13
116,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.78,100,99,1.19,RU,2022-06-21 17:09:13
117,Jining,35.405,116.5814,83.53,42,12,9.57,CN,2022-06-21 17:09:13
118,Tuktoyaktuk,69.4541,-133.0374,41.31,63,2,5.93,CA,2022-06-21 17:09:14
119,Havre-Saint-Pierre,50.2334,-63.5986,48.18,79,100,6.06,CA,2022-06-21 17:05:30
120,Madison,34.7334,-86.5667,92.55,52,0,6.91,US,2022-06-21 17:09:14
121,Porto Novo,6.4965,2.6036,81.16,74,79,8.39,BJ,2022-06-21 17:09:15
122,Port Blair,11.6667,92.75,82.9,79,100,12.33,IN,2022-06-21 17:09:15
123,Yellowknife,62.456,-114.3525,66.38,39,55,9.33,CA,2022-06-21 17:09:04
124,Kahului,20.8947,-156.47,76.84,73,20,8.99,US,2022-06-21 17:05:34
125,Concepcion,-36.827,-73.0498,53.4,82,75,6.91,CL,2022-06-21 17:09:15
126,Castro,-24.7911,-50.0119,71.01,66,14,10.45,BR,2022-06-21 17:09:16
127,General Pico,-35.6566,-63.7568,51.57,51,100,15.28,AR,2022-06-21 17:09:16
128,Loiza,18.4313,-65.8802,91.63,73,40,18.41,PR,2022-06-21 17:09:17
129,Ketchikan,55.3422,-131.6461,54.07,87,100,6.91,US,2022-06-21 17:09:17
130,Cape Town,-33.9258,18.4232,63.88,71,96,3.0,ZA,2022-06-21 17:05:01
131,Tonstad,58.6626,6.7169,58.26,83,98,5.35,NO,2022-06-21 17:09:17
132,Talas,38.6908,35.5538,57.87,88,75,8.05,TR,2022-06-21 17:09:18
133,Port Elizabeth,-33.918,25.5701,59.31,93,100,1.01,ZA,2022-06-21 17:06:39
134,Bambous Virieux,-20.3428,57.7575,70.05,64,20,5.75,MU,2022-06-21 17:09:18
