City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Kita,ML,79.32,few clouds,13.0349,-9.4895,Hôtel Chat Rouge
276,Buraydah,SA,88.25,clear sky,26.326,43.975,Mövenpick Qassim
290,Wanning,CN,85.84,overcast clouds,18.8003,110.3967,Paradise Hotel
293,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
294,Gazanjyk,TM,77.2,clear sky,39.2446,55.5154,Railway motel
301,Basco,PH,85.96,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
302,Kloulklubed,PW,81.1,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
307,Kazerun,IR,85.51,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
309,Kavaratti,IN,83.07,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
316,Garowe,SO,77.32,few clouds,8.4054,48.4845,Curubo Hotel
318,Tirumullaivasal,IN,82.26,overcast clouds,11.2333,79.8333,
322,Tabou,CI,75.15,moderate rain,4.423,-7.3528,hotêl doufoulougou
325,Lotofaga,WS,85.78,few clouds,-13.9764,-171.8578,Sataoa Beach Fales
330,Ko Samui,TH,82.8,overcast clouds,9.5357,99.9357,The Passage
331,Nepa Nagar,IN,79.81,few clouds,21.4667,76.4,Rest House Hilltop
338,Porto Novo,BJ,75.65,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
346,Tecoanapa,MX,79.14,overcast clouds,16.5167,-98.75,Hotel Manglares
348,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
352,Payo,ID,75.07,overcast clouds,-3.7508,103.6372,Mess keban agung
356,Forest Hills,US,81.23,broken clouds,42.9595,-85.4898,Ada Bed and Breakfast
357,Pacific Grove,US,80.02,scattered clouds,36.6177,-121.9166,Lovers Point Inn
358,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
361,Bandarbeyla,SO,79.32,overcast clouds,9.4942,50.8122,JABIR HOTEL
362,Bogande,BF,80.69,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
365,Lazaro Cardenas,MX,82.17,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
371,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
374,Coahuayana,MX,83.05,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
375,Totness,SR,76.39,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
377,Bombay,IN,78.78,thunderstorm,19.0144,72.8479,Hotel Avon Ruby-Dadar
378,Puerto El Triunfo,SV,83.32,overcast clouds,13.2833,-88.55,Hotel Jardin
381,Lake Charles,US,89.98,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
385,Lumberton,US,75.51,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
387,Kirakira,SB,84.47,overcast clouds,-10.4544,161.9205,SanBiz Lodge
393,Manggar,ID,77.05,overcast clouds,-2.8833,108.2667,Guest Hotel
397,Usta Muhammad,PK,81.12,clear sky,28.1794,68.0445,Hindu Colony
400,Susanville,US,75.04,clear sky,40.4163,-120.65299999999999,Comfort Inn & Suites
413,Felanitx,ES,78.96,overcast clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
419,Ishigaki,JP,84.02,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
422,Bay City,US,80.71,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
427,Kendari,ID,78.82,overcast clouds,-3.945,122.4989,Hotel Wixel
430,Guane,CU,79.18,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
431,Albion,US,80.64,clear sky,42.2431,-84.75299999999999,Days Inn by Wyndham Albion
440,Ayorou,NE,86.72,broken clouds,14.7308,0.9174,Hotel Amenokal
444,Lovington,US,81.32,overcast clouds,32.944,-103.3485,Comfort Inn & Suites Lovington
445,Satana,IN,75.24,scattered clouds,20.5833,74.2,Yashvant hotel
452,Daru,PG,77.23,overcast clouds,-9.0763,143.2092,Daru Lodge
454,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
458,Tual,ID,81.66,broken clouds,-5.6667,132.75,Grand Vilia Hotel
461,Hami,CN,83.73,overcast clouds,42.8,93.45,Laoyutang Resort
465,Poso,ID,83.37,broken clouds,-1.3959,120.7524,Hotel 77 Poso
467,Bud,US,82.42,broken clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
469,Jibuti,DJ,88.45,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
470,Qandala,SO,89.58,broken clouds,11.472000000000001,49.8728,
471,Apozol,MX,87.67,broken clouds,21.4833,-103.1,Paraíso Caxcán
472,College,US,75.0,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
473,Pangai,TO,84.31,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
474,Avera,US,81.55,overcast clouds,33.194,-82.5271,
475,Boulsa,BF,79.92,light rain,12.6675,-0.5758,Auberge Relwende
478,Barra Patuca,HN,79.97,overcast clouds,15.8,-84.2833,
480,Gizo,SB,83.75,scattered clouds,-8.103,156.8419,Imagination Island
484,Hoa Binh,VN,88.57,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
485,Safaga,EG,84.36,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
